epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.91876,1.282,10.8841,1.81479,0.73653,0.96781,0.89853,0.67823,0.93235,1.28012,1.86082,0.000324786,0.000324786,0.0678462
2,12.7566,0.70994,0.72186,1.30896,0.99702,1,0.995,0.86113,0.69145,0.6943,1.29654,0.000658048,0.000658048,0.0348461
3,18.4589,0.72808,0.61421,1.30801,0.99664,1,0.995,0.82817,0.69945,0.63331,1.33848,0.000991023,0.000991023,0.00184572
4,24.027,0.71783,0.59186,1.29195,0.99569,1,0.995,0.76904,0.87436,0.64788,1.44494,0.000999023,0.000999023,0.000999023
5,29.6783,0.67871,0.55873,1.26282,0.94635,1,0.995,0.77171,0.80218,0.82387,1.36579,0.000998264,0.000998264,0.000998264
6,35.2508,0.64198,0.52379,1.23597,0.99534,1,0.995,0.81313,0.82505,0.58059,1.34228,0.000997288,0.000997288,0.000997288
7,40.6798,0.62338,0.5025,1.21868,0.99738,1,0.995,0.70441,1.01041,0.6693,1.58502,0.000996097,0.000996097,0.000996097
8,46.1291,0.60842,0.46877,1.19458,0.99754,1,0.995,0.77731,0.99797,0.51522,1.56111,0.00099469,0.00099469,0.00099469
9,51.6656,0.58539,0.44639,1.17444,0.99749,1,0.995,0.89404,0.59103,0.35612,1.02575,0.000993068,0.000993068,0.000993068
10,57.8781,0.54382,0.44821,1.16709,0.99793,1,0.995,0.89659,0.55935,0.38707,1.07335,0.000991232,0.000991232,0.000991232
11,63.5164,0.49847,0.39998,1.11343,0.99769,1,0.995,0.86891,0.54968,0.41314,1.03746,0.000989183,0.000989183,0.000989183
12,69.0679,0.54822,0.41953,1.15549,0.99773,1,0.995,0.86269,0.68241,0.39624,1.23189,0.000986922,0.000986922,0.000986922
13,74.6717,0.53261,0.40716,1.12439,0.99722,1,0.995,0.89889,0.55715,0.33811,1.01034,0.000984449,0.000984449,0.000984449
14,80.1628,0.52244,0.41658,1.12309,0.99768,1,0.995,0.80491,0.84754,0.52223,1.4198,0.000981765,0.000981765,0.000981765
15,85.7973,0.54247,0.43205,1.15558,0.99524,1,0.995,0.89888,0.54146,0.37502,1.0329,0.000978873,0.000978873,0.000978873
16,91.2907,0.50058,0.40523,1.10984,0.99555,1,0.995,0.8501,0.54635,0.38237,1.10216,0.000975773,0.000975773,0.000975773
17,96.8236,0.51031,0.39727,1.11033,0.9977,1,0.995,0.89316,0.44172,0.34003,0.91399,0.000972466,0.000972466,0.000972466
18,102.354,0.48768,0.37493,1.07741,0.9972,1,0.995,0.96152,0.35517,0.29677,0.81187,0.000968955,0.000968955,0.000968955
19,107.959,0.5056,0.37103,1.10044,0.99804,1,0.995,0.88455,0.55352,0.35357,1.04768,0.000965239,0.000965239,0.000965239
20,113.483,0.47972,0.38278,1.08888,0.99801,1,0.995,0.88097,0.53471,0.29388,1.03128,0.000961322,0.000961322,0.000961322
21,119.078,0.51005,0.37211,1.12458,0.99741,1,0.995,0.88886,0.50812,0.34452,0.97259,0.000957205,0.000957205,0.000957205
22,124.789,0.45976,0.34033,1.06503,0.99788,1,0.995,0.86307,0.62572,0.30341,1.08506,0.000952889,0.000952889,0.000952889
23,130.363,0.44963,0.33674,1.06763,0.99798,1,0.995,0.92978,0.43838,0.28711,0.92137,0.000948377,0.000948377,0.000948377
24,135.897,0.44869,0.35746,1.07542,0.99795,1,0.995,0.87429,0.61185,0.26054,1.02891,0.000943671,0.000943671,0.000943671
25,141.436,0.44567,0.33307,1.06648,0.99796,1,0.995,0.88205,0.48031,0.28977,0.96213,0.000938772,0.000938772,0.000938772
26,146.988,0.43762,0.33495,1.05236,0.998,1,0.995,0.93802,0.42082,0.3173,0.94447,0.000933683,0.000933683,0.000933683
27,152.46,0.44748,0.33866,1.06863,0.99802,1,0.995,0.89026,0.6076,0.36568,1.03911,0.000928405,0.000928405,0.000928405
28,158.03,0.42476,0.32874,1.06637,0.99783,1,0.995,0.90255,0.46429,0.29201,0.94885,0.000922942,0.000922942,0.000922942
29,163.489,0.42318,0.32224,1.03168,0.9978,1,0.995,0.90253,0.4521,0.30995,0.91,0.000917296,0.000917296,0.000917296
30,169.039,0.41845,0.32858,1.04156,0.99782,1,0.995,0.89653,0.44826,0.3105,0.95474,0.000911469,0.000911469,0.000911469
31,174.871,0.3854,0.30742,1.0286,0.99803,1,0.995,0.90625,0.4072,0.32548,0.86986,0.000905463,0.000905463,0.000905463
32,180.32,0.42446,0.32246,1.04397,0.99797,1,0.995,0.9005,0.51563,0.29355,0.97652,0.000899282,0.000899282,0.000899282
33,185.838,0.41777,0.31487,1.04502,0.99784,1,0.995,0.91466,0.44223,0.26066,0.92334,0.000892928,0.000892928,0.000892928
34,191.397,0.4129,0.30858,1.03562,0.99787,1,0.995,0.9109,0.44055,0.26938,0.90386,0.000886404,0.000886404,0.000886404
35,197.116,0.39493,0.33111,1.02658,0.99756,1,0.995,0.92658,0.41236,0.24052,0.89983,0.000879713,0.000879713,0.000879713
36,202.671,0.43447,0.32372,1.02783,0.99764,1,0.995,0.89928,0.46549,0.27953,0.90476,0.000872857,0.000872857,0.000872857
